sr,title,note,download,extension,numD,sizeTxt,sizeKB,category,remarks,no. of data rows,no. of columns,narrow or wide(pivoted)
184,List of emergency call attanded & responded by the fire Department.,this excel sheet contains list emergency calls attended and responded by fire officers.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/276?filepath=%2FDocuments%2F276%2FList%20of%20emergency%20call%20attanded%20%26%20responded%20by%20the%20fire%20Department.%20.xls,xls,121,40.5 kb,40,health,,,,
185,CNG consumed for the year 2016--2018,This excelsheet contains CNG consumed for the year 2016--18 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/273?filepath=%2FDocuments%2F273%2FCNG%20%20consumed%20for%20the%20year%202016--2018.xlsx,xlsx,105,58.59 kb,59,transport,,,,
186,Tree plantation statistics for the year 2011--2016 under PMC,This excel sheet contains statistics of the tree plantation for the year 2011--2016 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/270?filepath=%2FDocuments%2F270%2FTree%20plantation%20statistics%20for%20the%20year%202011--2016%20under%20PMC.xlsx,xlsx,113,13.61 kb,14,environment,,,,
187,Areawise reliability indices for the year 2017,This excel sheet contains data areawise reliability indices for the year 2017 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/267?filepath=%2FDocuments%2F267%2FAreawise%20reliability%20indices%20for%20the%20year%202017.xlsx,xlsx,108,13.89 kb,14,infrastructure,,,,
188,List of registered nursing homes and hospitals under PMC for the year 2018,This excel sheet contains total number of registered nursing homes and hospitals under PMC for the year 2018,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/264?filepath=%2FDocuments%2F264%2FList%20of%20registered%20nursing%20homes%20and%20hospitals%20under%20PMC%20for%20the%20year%202018.xlsx,xlsx,493,79.06 kb,79,health,,,,
189,Detected cases and deaths due to diseases for the year 2017,This excel sheet contains detected cases and deaths due to diseases for the year 2017 under pmc.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/261?filepath=%2FDocuments%2F261%2FDetected%20cases%20and%20deaths%20due%20to%20diseases%20for%20the%20year%202017.xlsx,xlsx,107,30.4 kb,30,health,,,,
190,Detected cases and deaths due to diseases for the year 2014,This excel sheet contains detected cases and deaths due to diseases for the year 2014 under pmc.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/258?filepath=%2FDocuments%2F258%2FDetected%20cases%20and%20deaths%20due%20to%20diseases%20for%20the%20year%202014.xlsx,xlsx,77,24.97 kb,25,health,,,,
191,Concentration of Particulate Matter10 in the city for FY 2017,This excel sheet contains monthly concentration of Particulate Matter10 in the city for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/255?filepath=%2FDocuments%2F255%2FConcentration%20of%20Particulate%20Matter10%20in%20the%20city%20for%20the%20year%202017.xlsx,xlsx,70,240.43 kb,240,air pollution,,,,
192,Noise Pollution generated in the city for FY 2016,This excel sheet contains areawise noise generated in the city for the year 2011--16 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/252?filepath=%2FDocuments%2F252%2FNoise%20Pollution%20generated%20in%20the%20city%20for%20the%20year%202016.xlsx,xlsx,75,229.43 kb,229,noise pollution,,,,
193,Property wise waste collected by the solid waste department for the year 20017.,This excel sheet contains the information regarding solid waste collected property wise by solid waste department for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/249?filepath=%2FDocuments%2F249%2FProperty%20wise%20waste%20collected%20by%20the%20solid%20waste%20department%20for%20the%20year%2020017..xlsx,xlsx,97,12.69 kb,13,waste management,,,,
194,Total waste collectedPrabhagwise for the year 2017,This excel sheet contains data of total waste collected Prabhagwise for the year 2017 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/246?filepath=%2FDocuments%2F246%2FTotal%20waste%20collectedPrabhagwise%20for%20the%20year%202017%20.xlsx,xlsx,93,105.6 kb,106,waste management,,,,
195,Income and Expenditure generated by PMC,This excel sheet contains the yearly statistics of income & Expenditure generated by PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/243?filepath=%2FDocuments%2F243%2FIncome%20and%20Expenditure%20generated%20by%20PMC.xlsx,xlsx,157,36.51 kb,37,budget,,,,
196,Schools details under Pune Municipal Corporation,This excel sheet contains list of schools details under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/239?filepath=%2FDocuments%2F239%2FSchools%20details%20under%20Pune%20Municipal%20Corporation.xlsx,xlsx,801,180.92 kb,181,education,,,,
197,DEPOTWISE STATISTICAL REPORT FOR THE MONTH OF AUGUSt 2017,This excel sheet contains depotwise report of BRT for the month of August 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/236?filepath=%2FDocuments%2F236%2FDEPOTWISE%20%20STATISTICAL%20REPORT%20%20FOR%20%20THE%20%20MONTH%20%20OF%20AUGUSt%202017.xlsx,xlsx,76,16.51 kb,17,bus,,,,
198,DEPOTWISE STATISTICAL REPORT FOR THE MONTH OF MAY 2017,This excel sheet contains depotwise report of BRT for the month of May 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/233?filepath=%2FDocuments%2F233%2FDEPOTWISE%20%20STATISTICAL%20REPORT%20%20FOR%20%20THE%20%20MONTH%20%20OF%20MAY%202017.xlsx,xlsx,73,15.89 kb,16,bus,,,,
199,DEPOTWISE STATISTICAL REPORT FOR THE MONTH OF NOVEMBER 2017,This excel sheet contains depotwise report of PMPML for the month of November 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/230?filepath=%2FDocuments%2F230%2F%20DEPOTWISE%20%20STATISTICAL%20REPORT%20%20FOR%20%20THE%20%20MONTH%20%20OF%20NOVEMBER%202017.xls,xls,76,474 kb,474,bus,,,,
200,DEPOTWISE STATISTICAL REPORT FOR THE MONTH OF August 2017,This excel sheet contains depotwise report of PMPML for the month of August 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/227?filepath=%2FDocuments%2F227%2FDEPOTWISE%20%20STATISTICAL%20REPORT%20%20FOR%20%20THE%20%20MONTH%20%20OF%20August%202017.xlsx,xlsx,71,34.37 kb,34,bus,,,,
201,DEPOTWISE STATISTICAL REPORT FOR THE MONTH OF MAY 2017,This excel sheet contains depotwise report of PMPML for the month of May 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/224?filepath=%2FDocuments%2F224%2F%20%20DEPOTWISE%20%20STATISTICAL%20REPORT%20%20FOR%20%20THE%20%20MONTH%20%20OF%20%20MAY%202017.xlsx,xlsx,76,34.96 kb,35,bus,,,,
202,DEPOTWISE STATISTICAL REPORT FOR THE MONTH OF FEBRUARY 2017,This excel sheet contains depotwise report of PMPML for the month of February 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/221?filepath=%2FDocuments%2F221%2FDEPOTWISE%20%20STATISTICAL%20REPORT%20%20FOR%20%20THE%20%20MONTH%20%20OF%20FEBRUARY%202017.xlsx,xlsx,74,35.55 kb,36,bus,,,,
203,Monthly analysis of water supply & Distribution loss,This excel sheet contains monthly water supply & distribution loss in Pune.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/217?filepath=%2FDocuments%2F217%2FMonthly%20analysis%20of%20water%20supply%20%26%20Distribution%20loss.xlsx,xlsx,197,12.7 kb,13,water,,,,
204,Water Consumption by the citizens for the month of November 2016,The Excel sheet contains water consumption by the citizens of Pune for the month of November 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/214?filepath=%2FDocuments%2F214%2FWater%20Consumption%20by%20the%20citizens%20for%20the%20month%20of%20November%202016.xlsx,xlsx,97,10.81 kb,11,water,,,,
205,Water Consumption by the citizens for the month of September 2017,The Excel sheet contains water consumption by the citizens of Pune for the month of September 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/211?filepath=%2FDocuments%2F211%2FWater%20Consumption%20by%20the%20citizens%20for%20the%20month%20of%20September%202017.xlsx,xlsx,101,10.36 kb,10,water,,,,
206,Water Consumption by the citizens for the month of June 2017,The Excel sheet contains water consumption by the citizens of Pune for the month of June 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/208?filepath=%2FDocuments%2F208%2FWater%20Consumption%20by%20the%20citizens%20for%20the%20month%20of%20June%202017.xlsx,xlsx,110,11.27 kb,11,water,,,,
207,Water Consumption by the citizens for the month of March 2017,The Excel sheet contains water consumption by the citizens of Pune for the month of February 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/205?filepath=%2FDocuments%2F205%2FWater%20Consumption%20by%20the%20citizens%20for%20the%20month%20of%20March%202017.xlsx,xlsx,89,11.41 kb,11,water,,,,
208,PMC Ward Offices,Ward offices details under PMC,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/202?filepath=%2FDocuments%2F202%2FPMC%20Ward%20Offices.xlsx,xlsx,633,10.63 kb,11,infrastructure,,,,
209,PMC Traffic Deails,PMC Traffic Signal Details,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/199?filepath=%2FDocuments%2F199%2FPMC%20Traffic%20Deails.xlsx,xlsx,278,13.81 kb,14,transport,,,,
210,Post Office,Post Offices details,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/196?filepath=%2FDocuments%2F196%2FPost%20Office.xlsx,xlsx,189,12.8 kb,13,infrastructure,,,,
211,PMC Offices,PMC Offices in Pune,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/193?filepath=%2FDocuments%2F193%2FPMC%20Offices.xlsx,xlsx,188,10.02 kb,10,infrastructure,,,,
212,Parking,Parking details in Pune,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/190?filepath=%2FDocuments%2F190%2FParking.xlsx,xlsx,491,10.68 kb,11,infrastructure,,,,
213,Fire Station,Fire Station details in Pune,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/187?filepath=%2FDocuments%2F187%2FFire%20Station.xlsx,xlsx,172,9.94 kb,10,infrastructure,,,,
214,Blood Bank,Blood Bank details in Pune,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/184?filepath=%2FDocuments%2F184%2FBlood%20Bank.xlsx,xlsx,196,10.63 kb,11,infrastructure,,,,
215,Library,Library details in Pune,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/181?filepath=%2FDocuments%2F181%2FLibrary.xlsx,xlsx,295,13.92 kb,14,infrastructure,,,,
216,Banks,Bank details in Pune,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/178?filepath=%2FDocuments%2F178%2FBanks.xlsx,xlsx,218,15.21 kb,15,infrastructure,,,,
217,Garden List,Garden Location with Latitude and Longitude values,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/175?filepath=%2FDocuments%2F175%2FGarden%20List%20.xlsx,xlsx,1409,20.93 kb,21,infrastructure,,,,
218,List of Hawkers/ Vendors in Warje,"The data set (currently in Marathi) include Temporary Hawker ID, Full Name, Name of Business, Business Address and Grade for Hawkers in Aundh ward office area.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/169?filepath=%2FDocuments%2F169%2FList%20of%20Hawkers--%20Vendors%20in%20Warje.pdf,pdf,383,1.95 mb,1997,hawker--vendor,,,,
219,List of Hawkers/ Vendors in Sahakar Nagar,"The data set (currently in Marathi) include Temporary Hawker ID, Full Name, Name of Business, Business Address and Grade for Hawkers in Aundh ward office area.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/166?filepath=%2FDocuments%2F166%2FList%20of%20Hawkers--%20Vendors%20in%20Sahakar%20Nagar.pdf,pdf,227,3.15 mb,3226,hawker--vendor,,,,
220,List of Hawkers/ Vendors in Ghole Road,"The data set (currently in Marathi) include Temporary Hawker ID, Full Name, Name of Business, Business Address and Grade for Hawkers",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/163?filepath=%2FDocuments%2F163%2FList%20of%20Hawkers--%20Vendors%20in%20Ghole%20Road.pdf,pdf,396,3.54 mb,3625,hawker--vendor,,,,
221,Upper Super Indira Nagar_Ward 37,Upper Super Indira Nagar ward 37 polling,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/160?filepath=%2FDocuments%2F160%2FUpper%20Super%20Indira%20Nagar_Ward%2037.pdf,pdf,202,106.42 kb,106,elections,,,,
222,Silsbury Park_Maharshi Nagar_Ward 28,"Silsbury Park,Maharshi Nagar Ward 28 polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/157?filepath=%2FDocuments%2F157%2FSilsbury%20Park_Maharshi%20Nagar_Ward%2028.pdf,pdf,199,160.79 kb,161,elections,,,,
223,wanowadi_ward 25,Wanowadi Ward polling,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/154?filepath=%2FDocuments%2F154%2Fwanowadi_ward%2025.pdf,pdf,202,136.16 kb,136,elections,,,,
224,Mundwa_Magarpatta_Ward 22,"Mundwa , Magarpatta Ward 22 polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/151?filepath=%2FDocuments%2F151%2FMundwa_Magarpatta_Ward%2022.pdf,pdf,181,154.95 kb,155,elections,,,,
225,Lohiya Nagar_ Kasewadi_Ward 19,"Lohiya Nagar , Kasewadi Ward 19 polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/148?filepath=%2FDocuments%2F148%2FLohiya%20Nagar_%20Kasewadi_Ward%2019.pdf,pdf,164,172.93 kb,173,elections,,,,
226,Kasba Peth_Somwar Peth_Ward 16,"Kasba Peth , somwar peth ward 16 polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/145?filepath=%2FDocuments%2F145%2FKasba%20Peth_Somwar%20Peth_Ward%2016.pdf,pdf,365,166.12 kb,166,elections,,,,
227,Erandawana_Happy Colony_Ward 13,"Erandwane,Happy Colony ward 13 polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/142?filepath=%2FDocuments%2F142%2FErandawana_Happy%20Colony_Ward%2013.pdf,pdf,175,155.15 kb,155,elections,,,,
228,Bavadhan_KothrudDepot_Ward 10,"Bavdhan,Kothrud Depot polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/139?filepath=%2FDocuments%2F139%2FBavadhan_KothrudDepot_Ward%2010.pdf,pdf,187,133.34 kb,133,elections,,,,
229,Pune vidyapeeth_wakhdewadi_Ward 7,"Pune Vidyapeeth,Wakdhewadi polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/136?filepath=%2FDocuments%2F136%2FPune%20vidyapeeth_wakhdewadi_Ward%207.pdf,pdf,179,208.41 kb,208,elections,,,,
230,Kharadi_Chandannagar_ward 4,"Kharadi,Chandannagar polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/133?filepath=%2FDocuments%2F133%2FKharadi_Chandannagar_ward%204.pdf,pdf,180,176.84 kb,177,elections,,,,
231,Dhanori_ward 1,dhanori ward polling,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/130?filepath=%2FDocuments%2F130%2FWard%201%20Dhanori.pdf,pdf,181,160.51 kb,161,elections,,,,
232,STATISTICAL REPORT FOR JANUARY 2017,STATISTICAL REPORT,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/125?filepath=%2FDocuments%2F125%2FSTATISTICAL%20REPORT%20FOR%20JANUARY%202017.xls,xls,1114,122.5 kb,122,bus,,,,
233,Slum details,Slum details -- 2016,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/122?filepath=%2FDocuments%2F122%2FSlum%20details.xlsx,xlsx,1016,11.61 kb,12,slum,,,,
234,Public Amenities,Public Amenities -- 2016,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/119?filepath=%2FDocuments%2F119%2FPublic%20Amenities.xlsx,xlsx,810,12.76 kb,13,infrastructure,,,,
235,Length of Roads -- Prabhag wise,Length of Roads -- Prabhag wise -- 2016,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/116?filepath=%2FDocuments%2F116%2FLength%20of%20Roads%20--%20Prabhag%20wise.xlsx,xlsx,1006,15.39 kb,15,infrastructure,,,,
236,Percentage of Roads with storm water drainage,Ward wise -- Percentage of Roads with storm water drainage -- 2016,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/113?filepath=%2FDocuments%2F113%2FPercentage%20of%20Roads%20with%20storm%20water%20drainage.xlsx,xlsx,837,10.9 kb,11,water,,,,
237,Workforce Classification,Workforce Classification -- 2001,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/109?filepath=%2FDocuments%2F109%2FWorkforce%20Classification.xlsx,xlsx,744,8.7 kb,9,population,,,,
238,Industrial Growth,Industrial Growth -- 1995,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/106?filepath=%2FDocuments%2F106%2FIndustrial%20Growth.xlsx,xlsx,755,8.37 kb,8,infrastructure,,,,
239,Large Scale Enterprises,Large Scale Enterprises -- 2011,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/103?filepath=%2FDocuments%2F103%2FLarge%20Scale%20Enterprises.xlsx,xlsx,737,8.12 kb,8,infrastructure,,,,
240,SRA projects,SRA projects -- 2009,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/100?filepath=%2FDocuments%2F100%2FSRA%20projects.xlsx,xlsx,790,8.27 kb,8,slum,,,,
241,Housing distribution,Housing distribution 2001,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/97?filepath=%2FDocuments%2F97%2FHousing%20distribution.xlsx,xlsx,732,8.34 kb,8,population,,,,
242,Land distribution as per development plan,Land distribution as per development plan -- 2001,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/94?filepath=%2FDocuments%2F94%2FLand%20distribution%20as%20per%20development%20plan.xlsx,xlsx,780,8.8 kb,9,infrastructure,,,,
243,Lakes in PMC area,Lakes in PMC area -- 2012,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/91?filepath=%2FDocuments%2F91%2FLakes%20in%20PMC%20area.xlsx,xlsx,766,8.21 kb,8,environment,,,,
244,Details of sewage generation,Details of sewage generation 2012,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/88?filepath=%2FDocuments%2F88%2FDetails%20of%20sewage%20generation%20.xlsx,xlsx,734,8.22 kb,8,treatment,,,,
245,Ward--wise per capita supply and continuity of water,Ward--wise per capita supply and continuity of water -- 2012,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/85?filepath=%2FDocuments%2F85%2FWard--wise%20per%20capita%20supply%20and%20continuity%20of%20water.xlsx,xlsx,815,8.65 kb,9,water,,,,
246,Biomethenation plants located and capacity,Biomethenation plants located and capacity,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/81?filepath=%2FDocuments%2F81%2FBiomethenation%20plants%20located%20and%20capacity.xlsx,xlsx,693,8.4 kb,8,waste management,,,,
247,Per day generation of waste,Per day generation of waste,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/78?filepath=%2FDocuments%2F78%2FPer%20day%20generation%20of%20waste.xlsx,xlsx,763,8.58 kb,9,waste management,,,,
248,On street parking,On street parking -- 2008,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/75?filepath=%2FDocuments%2F75%2FOn%20street%20parking.xlsx,xlsx,810,8.88 kb,9,transport,,,,
249,Flight travel details,flight travel statistics,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/72?filepath=%2FDocuments%2F72%2FFlight%20travel%20details.xlsx,xlsx,711,9.78 kb,10,transport,,,,
250,Garbage Vehicle Information,"Big Vehicles: Dumper Placer, Hotel Truck, B.R.C Tipper, Garden Cutting, Tractor Small Vehicles: Tempo",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/69?filepath=%2FDocuments%2F69%2FGarbage%20Vehicle%20Information.xlsx,xlsx,662,8.27 kb,8,waste management,,,,
251,Yearly Fire and Emergency Services,Source: Disaster Management Plan of Pune City,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/66?filepath=%2FDocuments%2F66%2FYearly%20Fire%20and%20Emergency%20Services.xlsx,xlsx,635,8.36 kb,8,infrastructure,,,,
252,STATISTICAL REPORT FOR DECEMBER 2016,STATISTICAL REPORT FOR DECEMBER 2016,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/63?filepath=%2FDocuments%2F63%2FSTATISTICAL%20REPORT%20%20FOR%20%20%20DECEMBER%202016.xls,xls,752,95 kb,95,bus,,,,
253,School List,PMC buildings consist of PMC schools. This data set contains all the PMC schools with address and area details,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/60?filepath=%2FDocuments%2F60%2FSchool%20List.xls,xls,970,501 kb,501,education,,,,
254,Route Mapping -- Marathi,Route mapping with latitude and longitude information.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/57?filepath=%2FDocuments%2F57%2FRoute%20Mapping%20--%20Marathi.xlsx,xlsx,989,1.88 mb,1925,bus,,,,
255,List of Hawkers/ Vendors in Kodhwa Wanovrie ward office,"The data set (currently in Marathi) include Temporary Hawker ID, Full Name, Name of Business, Business Address and Grade for Hawkers in Kodhwa Wanovrie ward office area.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/54?filepath=%2FDocuments%2F54%2Fdataset.pdf,pdf,377,600.98 kb,601,hawker--vendor,,,,
256,List of Hawkers/ Vendors in Dhole Patil Road ward office,"The data set (currently in Marathi) include Temporary Hawker ID, Full Name, Name of Business, Business Address and Grade for Hawkers in Dhole Patil Road ward office area.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/51?filepath=%2FDocuments%2F51%2Fdataset.pdf,pdf,256,544.19 kb,544,hawker--vendor,,,,
257,List of Hawkers/ Vendors in Bhavani Peth Ward office,"The data set include Temporary Hawker ID, Full Name, Name of Business, Business Address and Grade for Hawkers in Bhavani peth ward office area.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/48?filepath=%2FDocuments%2F48%2Fdataset.pdf,pdf,343,942.68 kb,943,hawker--vendor,,,,
258,SSA Enrollemnt data,"The data set include details of number of students enrolled across different types of schools, number of teachers appointed and school category wise breakup of students (updated 2015--16).",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/45?filepath=%2FDocuments%2F45%2Fdataset.xlsx,xlsx,1248,101.49 kb,101,education,,,,
259,Installed Solid Waste Treatment Capacity,"The data set include list of all installed facilities by SWM department with Latitude, Longitude, Status, Quantity (MT), % Cap Utilization",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/42?filepath=%2FDocuments%2F42%2Fdataset.xlsx,xlsx,862,13.69 kb,14,waste management,,,,
260,Location of Bins and Processing Units,Reference URL: http://track8.geodirect.in/processingunit.php,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/39?filepath=%2FDocuments%2F39%2Fdataset.pdf,pdf,383,728.53 kb,729,waste management,,,,
261,Integrated Solid Waste Management,"This is a report prepared by department on integrated solid waste management activities by the department. The report is consolidation of integrated solid waste management vision, achievement, proposed plans and departmental activities.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/36?filepath=%2FDocuments%2F36%2Fdataset.pdf,pdf,1087,6.06 mb,6205,waste management,,,,
262,Finance-- Budget 2016--2017-- Commissioner,The data set includes Pune Municipal Corporation's budget for 2016--17 as presented by Hon. Commissioner.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/33?filepath=%2FDocuments%2F33%2Fdataset.xlsx,xlsx,1357,822.54 kb,823,budget,,,,
263,Sewage Service Level benchmarks-- 2012,"The data set include list of all service level benchmark for sewage treatment. Data included in this data set provide list of Service level indicators, expected result (in %) for that indicator and current status in PMC. (updated Nov 2012)",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/30?filepath=%2FDocuments%2F30%2Fdataset.xlsx,xlsx,675,9.24 kb,9,treatment,,,,
264,Regional Disaster Management Plan for Pune city 2014--15,Data set include summary report on Integrated Regional Disaster Management Plan for Pune city and Pune Municipal Councils.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/27?filepath=%2FDocuments%2F27%2Fdataset.pdf,pdf,676,1.86 mb,1905,infrastructure,,,,
265,"Slum Rehab-- Bhavani Peth, Slum Locations superimposed on development plan",The file shows satellite image (boundary) of all slums in Bhavani peth administrative ward area and details of slum pockets in respective electoral wards. These boundaries are also superimposed on Pune's development plan.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/24?filepath=%2FDocuments%2F24%2Fdataset.pdf,pdf,391,23.76 mb,24330,slum,,,,
266,Slub Rehabilitation notified 353 declared ward office wise list,"List of notified slums in PMC area, ward wise",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/21?filepath=%2FDocuments%2F21%2Fdataset.pdf,pdf,389,99.34 kb,99,slum,,,,
267,Disaster department Equipment list with Purchase Date,The data set include details of various equipment issued by disaster management department with purchase year and quantities.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/18?filepath=%2FDocuments%2F18%2Fdataset.xlsx,xlsx,598,11.02 kb,11,infrastructure,,,,
268,City Census-- Census Population Data 2001,"Data of census 2001 of Pune Municipal Corporation Published by CENSUS OF INDIA. The data set includes population of literates, illiterates, Total Population (including institutional) and Houseless Population, etc.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/15?filepath=%2FDocuments%2F15%2Fdataset.xlsx,xlsx,1310,48.78 kb,49,population,,,,
269,"Property tax-- List of properties under SVR (Solar, vermiculture, Rainwater harvesting) category",Property tax department of PMC has various properties listed as part of its assessment. This data set shows the count of properties under SVR categories.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/12?filepath=%2FDocuments%2F12%2Fdataset.xlsx,xlsx,928,8.41 kb,8,property tax,,,,
270,List of Ward offices in Pune Municipal Corporation,Data contains list of all ward offices under Pune Municipal corporation jurisdiction with their location details.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/9?filepath=%2FDocuments%2F9%2Fdataset.xls,xls,883,29.5 kb,30,infrastructure,,,,
271,List of Prabhag (Electoral wards) in PMC with location details,Data contains list of all 76 prabhag (electoral wards) with their respective ward name and location (latitude & longitude) details.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/6?filepath=%2FDocuments%2F6%2Fdataset.xls,xls,1854,43 kb,43,population,,,,
272,"List of PMC managed Kiosks with ward name, latitude and longitude details","List of all kiosks in PMC area with ward name, electoral ward (prabhag) name and location (latitude, longitude) details.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/3?filepath=%2FDocuments%2F3%2Fdataset.xls,xls,774,40 kb,40,infrastructure,,,,
273,School Enrollment data for 2013--14,"School Enrollment data, Education Department",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/416?filepath=%2FDocuments%2F416%2FSchool%20Enrollment%20data%20for%202013--14.xlsx,xlsx,6,558.17 kb,558,education,,,,
274,Finance Budget 2017--18 SC Approved,Finance,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/413?filepath=%2FDocuments%2F413%2FFinance%20Budget%202017--18%20SC%20Approved.xlsx,xlsx,14,965.49 kb,965,budget,,,,
275,PMPML monthly information,PMPML monthly,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/410?filepath=%2FDocuments%2F410%2FPMPML%20monthly%20information.xlsx,xlsx,10,39.33 kb,39,bus,,,,
276,PMPML Monthly Stat Report mar 18,PMPML monthly report,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/407?filepath=%2FDocuments%2F407%2FPMPML%20Monthly%20Stat%20Report%20mar%2018.xlsx,xlsx,12,38.61 kb,39,bus,,,,
277,Informal Waster Pickers--2017,Source: Sarvekshan 2018,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/404?filepath=%2FDocuments%2F404%2FInformal%20Waster%20Pickers--2017.xlsx,xlsx,13,145.82 kb,146,waste management,,,,
